word,pos
pumped,VBN
daily,RB
.,.
Suspected,JJ
Islamist,JJ
rebels,NNS
have,VBP
fired,VBN
mortar,NN
shells,NNS
at,IN
the,DT
palace,NN
used,VBN
by,IN
Somalia,NNP
's,POS
interim,JJ
President,NNP
Abdullahi,NNP
Yusuf,NNP
Ahmad,NNP
.,.
It,PRP
was,VBD
not,RB
immediately,RB
clear,JJ
if,IN
the,DT
president,NN
was,VBD
in,IN
the,DT
palace,NN
in,IN
Mogadishu,NNP
when,WRB
the,DT
attack,NN
occurred,VBD
or,CC
if,IN
anyone,DT
was,VBD
hurt,VBN
.,.
Local,JJ
news,NN
reports,NNS
said,VBD
at,IN
least,JJS
five,CD
mortar,NN
shells,NNS
hit,VBD
the,DT
palace,NN
compound,NN
and,CC
other,JJ
mortars,NNS
were,VBD
fired,VBN
elsewhere,RB
in,IN
Mogadishu,NNP
Wednesday,NNP
.,.
The,DT
attacks,NNS
occurred,VBD
after,IN
the,DT
government,NN
said,VBD
it,PRP
will,MD
go,VB
ahead,RB
with,IN
a,DT
reconciliation,NN
conference,NN
to,TO
which,WDT
more,JJR
than,IN
"1,300",CD
Somali,JJ
elders,NNS
",",","
warlords,NNS
and,CC
politicians,NNS
are,VBP
invited,VBN
.,.
Iraqi,JJ
military,JJ
officials,NNS
say,VBP
tanks,NNS
and,CC
troops,NNS
have,VBP
arrived,VBN
in,IN
the,DT
northern,JJ
city,NN
Mosul,NNP
for,IN
a,DT
new,JJ
offensive,NN
against,IN
al,NNP
Qaida,NNP
in,IN
Iraq,NNP
fighters,NNS
.,.
Officials,NNS
will,MD
not,RB
say,VB
how,WRB
many,JJ
troops,NNS
have,VBP
arrived,VBN
in,IN
the,DT
Sunni,NNP
Arab,NNP
and,CC
Kurdish,NNP
city,NN
",",","
where,WRB
bombings,NNS
last,JJ
week,NN
killed,VBD
at,IN
least,JJS
34,CD
people,NNS
and,CC
wounded,VBD
more,JJR
than,IN
200,CD
.,.
U.S.,NNP
commanders,NNS
have,VBP
not,RB
explained,VBN
how,WRB
American,JJ
forces,NNS
will,MD
participate,VB
in,IN
the,DT
offensive,NN
.,.
Officials,NNS
say,VBP
al,NNP
Qaida,NNP
in,IN
Iraq,NNP
fighters,NNS
have,VBP
fled,VBN
successful,JJ
campaigns,NNS
against,IN
them,PRP
in,IN
Anbar,NNP
province,NN
and,CC
Baghdad,NNP
to,TO
other,JJ
northern,JJ
provinces,NNS
.,.
Mosul,NNP
is,VBZ
the,DT
largest,JJS
city,NN
north,NN
of,IN
Baghdad,NNP
and,CC
has,VBZ
long,RB
been,VBN
a,DT
stronghold,NN
of,IN
Sunni,NNP
militant,JJ
fighters,NNS
.,.
In,IN
other,JJ
violence,NN
",",","
U.S.,NNP
officials,NNS
said,VBD
one,CD
American,JJ
soldier,NN
was,VBD
killed,VBN
while,IN
on,IN
patrol,NN
in,IN
Baghdad,NNP
Sunday,NNP
.,.
Egyptian,JJ
police,NNS
have,VBP
arrested,VBN
at,IN
least,JJS
16,CD
members,NNS
of,IN
the,DT
opposition,NN
Muslim,NNP
Brotherhood,NNP
as,IN
parts,NNS
of,IN
the,DT
country,NN
prepare,VB
for,IN
parliamentary,JJ
runoff,NN
elections,NNS
Saturday,NNP
.,.
The,DT
arrests,NNS
occurred,VBD
Friday,NNP
in,IN
Alexandria,NNP
.,.
A,DT
spokesman,NN
for,IN
the,DT
Brotherhood,NNP
said,VBD
the,DT
arrests,NNS
are,VBP
an,DT
attempt,NN
to,TO
cut,VB
the,DT
Brotherhood,NNP
off,RB
from,IN
its,PRP$
supporters,NNS
and,CC
punishment,NN
for,IN
winning,VBG
parliamentary,JJ
seats,NNS
in,IN
earlier,JJR
elections,NNS
.,.
The,DT
Muslim,NNP
Brotherhood,NNP
has,VBZ
tripled,VBN
its,PRP$
strength,NN
in,IN
parliament,NN
in,IN
recent,JJ
elections,NNS
",",","
raising,VBG
the,DT
party,NN
's,POS
total,NN
to,TO
47,CD
seats,NNS
.,.
In,IN
Saturday,NNP
's,POS
elections,NNS
",",","
voters,NNS
will,MD
cast,VB
ballots,NNS
in,IN
nine,CD
provinces,NNS
where,WRB
no,DT
candidate,NN
won,VBD
a,DT
majority,NN
in,IN
the,DT
previous,JJ
round,NN
of,IN
voting,NN
.,.
The,DT
Muslim,NNP
Brotherhood,NNP
is,VBZ
banned,VBN
as,IN
a,DT
political,JJ
party,NN
",",","
but,CC
it,PRP
endorses,VBZ
so-called,JJ
independent,JJ
candidates,NNS
whose,WP$
allegiance,NN
to,IN
the,DT
party,NN
is,VBZ
known,VBN
to,TO
voters,NNS
.,.
Hardline,JJ
lawmakers,NNS
in,IN
Pakistan,NNP
's,POS
North,NNP
West,NNP
Frontier,NNP
Province,NNP
have,VBP
pushed,VBN
through,IN
a,DT
law,NN
that,WDT
aims,VBZ
to,TO
ensure,VB
"""",``
Islamic,JJ
correctness,NN
"""",``
in,IN
public,JJ
places,NNS
and,CC
establishes,VBZ
a,DT
morality,NN
police,NN
to,TO
enforce,VB
decent,JJ
behavior,NN
.,.
A,DT
six-party,JJ
coalition,NN
of,IN
religious,JJ
based,VBN
parties,NNS
",",","
the,DT
Mutahida,NNP
Majlis-e-Amal,NNP
",",","
dominates,VBZ
the,DT
provincial,JJ
assembly,NN
",",","
so,IN
the,DT
bill,NN
was,VBD
easily,RB
passed,VBN
Thursday,NNP
by,IN
a,DT
vote,NN
of,IN
68-34,CD
.,.
The,DT
provincial,JJ
governor,NN
must,MD
still,RB
sign,VB
the,DT
bill,NN
before,IN
it,PRP
becomes,VBZ
law,NN
",",","
a,DT
step,NN
seen,VBN
only,RB
as,IN
a,DT
formality,NN
.,.
The,DT
proposed,JJ
law,NN
calls,VBZ
for,IN
setting,VBG
up,RP
a,DT
"""",``
religious,JJ
police,NN
force,NN
"""",``
to,TO
make,VB
sure,JJ
people,NNS
adhere,VBP
to,TO
Islamic,JJ
values,NNS
in,IN
public,JJ
places,NNS
",",","
and,CC
entertainment,NN
outlets,NNS
close,RB
during,IN
weekly,JJ
Friday,NNP
prayers,NNS
.,.
Violators,NNS
could,MD
be,VB
jailed,VBN
for,IN
up,RB
to,TO
six,CD
months,NNS
.,.
The,DT
opposition,NN
has,VBZ
denounced,VBN
the,DT
measure,NN
",",","
comparing,VBG
it,PRP
to,TO
the,DT
draconian,JJ
rule,NN
of,IN
the,DT
former,JJ
Taleban,NNP
in,IN
neighboring,VBG
Afghanistan,NNP
.,.
British,JJ
police,NNS
say,VBP
they,PRP
have,VBP
arrested,VBN
a,DT
man,NN
who,WP
dressed,VBD
as,IN
suicide,NN
bomber,NN
at,IN
a,DT
demonstration,NN
against,IN
the,DT
publication,NN
of,IN
cartoons,NNS
depicting,VBG
Islam,NNP
's,POS
Prophet,NNP
Muhammad,NNP
.,.
Bedfordshire,NNP
police,NNS
said,VBD
Tuesday,NNP
that,IN
Omar,NNP
Khayam,NNP
was,VBD
arrested,VBN
in,IN
Bedford,NNP
for,IN
breaching,VBG
the,DT
conditions,NNS
of,IN
his,PRP$
parole,NN
.,.
Police,NNS
said,VBD
the,DT
British,NNP
Home,NNP
Office,NNP
sought,VBD
an,DT
investigation,NN
of,IN
Khayam,NNP
's,POS
behavior,NN
after,IN
he,PRP
was,VBD
photographed,VBN
last,JJ
week,NN
at,IN
a,DT
demonstration,NN
dressed,VBN
in,IN
fatigues,NNS
",",","
a,DT
black,JJ
cap,NN
",",","
and,CC
a,DT
bulky,JJ
belt,NN
.,.
A,DT
Home,NNP
Office,NNP
spokesman,NN
told,VBD
the,DT
Associated,NNP
Press,NNP
that,IN
if,IN
the,DT
behavior,NN
of,IN
a,DT
paroled,JJ
offender,NN
gives,VBZ
cause,NN
for,IN
concern,NN
",",","
he,PRP
can,MD
be,VB
sent,VBN
back,RB
to,TO
prison,NN
.,.
The,DT
AP,NNP
also,RB
reports,VBZ
Khayam,NNP
has,VBZ
been,VBN
on,IN
parole,NN
from,IN
prison,NN
since,IN
last,JJ
year,NN
after,IN
serving,VBG
half,PDT
his,PRP$
six-year,JJ
sentence,NN
for,IN
drug,NN
dealing,NN
.,.
Pakistani,JJ
officials,NNS
say,VBP
unidentified,JJ
gunmen,NNS
have,VBP
killed,VBN
three,CD
people,NNS
",",","
including,VBG
a,DT
former,JJ
government,NN
minister,NN
",",","
in,IN
a,DT
semi-autonomous,JJ
tribal,JJ
region,NN
bordering,VBG
Afghanistan,NNP
.,.
The,DT
officials,NNS
say,VBP
prominent,JJ
tribal,JJ
leader,NN
Malik,NNP
Faridullah,NNP
Khan,NNP
was,VBD
traveling,VBG
in,IN
South,NNP
Waziristan,NNP
Sunday,NNP
when,WRB
his,PRP$
vehicle,NN
was,VBD
ambushed,VBN
in,IN
the,DT
Kani,NNP
Wam,NNP
area,NN
.,.
His,PRP$
driver,NN
and,CC
a,DT
tribal,JJ
elder,NN
were,VBD
also,RB
killed,VBN
.,.
No,DT
one,NN
has,VBZ
claimed,VBN
responsibility,NN
for,IN
the,DT
killings,NNS
.,.
The,DT
ambush,NN
came,VBD
a,DT
day,NN
after,IN
a,DT
commander,NN
of,IN
Pakistani,JJ
troops,NNS
said,VBD
the,DT
army,NN
has,VBZ
almost,RB
completely,RB
eliminated,VBN
militants,NNS
in,IN
South,NNP
Waziristan,NNP
.,.
The,DT
area,NN
became,VBD
a,DT
refuge,NN
for,IN
many,JJ
al-Qaida,NNP
and,CC
Taleban,NNP
fighters,NNS
after,IN
the,DT
Taleban,NNP
government,NN
was,VBD
ousted,VBN
in,IN
Afghanistan,NNP
in,IN
2001,CD
.,.
A,DT
senior,JJ
Pakistani,JJ
military,JJ
official,NN
says,VBZ
Pakistan,NNP
wants,VBZ
to,TO
put,VB
what,WP
he,PRP
calls,VBZ
the,DT
"""",``
sordid,JJ
chapter,NN
"""",``
of,IN
proliferation,NN
by,IN
one,CD
of,IN
its,PRP$
top,JJ
scientists,NNS
behind,IN
it,PRP
and,CC
build,VB
civilian,JJ
nuclear,JJ
ties,NNS
with,IN
the,DT
United,NNP
States,NNPS
.,.
But,CC
he,PRP
says,VBZ
Pakistan,NNP
is,VBZ
not,RB
ready,JJ
to,TO
make,VB
the,DT
nuclear,JJ
scientist,NN
",",","
Abdul,NNP
Qadeer,NNP
Khan,NNP
",",","
available,JJ
for,IN
direct,JJ
questioning,VBG
over,IN
his,PRP$
sale,NN
of,IN
nuclear,JJ
parts,NNS
and,CC
secrets,NNS
to,IN
states,NNS
including,VBG
Iran,NNP
",",","
Libya,NNP
and,CC
North,NNP
Korea,NNP
.,.
He,PRP
said,VBD
there,EX
are,VBP
reasons,NNS
of,IN
national,JJ
sensitivities,NNS
for,IN
not,RB
making,VBG
him,PRP
available,JJ
.,.
The,DT
Pakistani,JJ
official,NN
was,VBD
giving,VBG
a,DT
background,NN
briefing,NN
to,TO
a,DT
small,JJ
group,NN
of,IN
reporters,NNS
in,IN
Washington,NNP
.,.
Khan,NNP
admitted,VBD
in,IN
2004,CD
that,IN
he,PRP
operated,VBD
a,DT
worldwide,JJ
clandestine,NN
network,NN
to,TO
sell,VB
nuclear,JJ
technology,NN
in,IN
the,DT
black,JJ
market,NN
.,.
He,PRP
was,VBD
placed,VBN
under,IN
house,NN
arrest,NN
in,IN
Islamabad,NNP
",",","
but,CC
not,RB
jailed,VBN
because,IN
he,PRP
is,VBZ
considered,VBN
the,DT
father,NN
of,IN
Pakistan,NNP
's,POS
nuclear,JJ
bomb,NN
.,.
U.S.,NNP
Army,NNP
officials,NNS
said,VBD
Wednesday,NNP
that,IN
they,PRP
will,MD
not,RB
renew,VB
a,DT
controversial,JJ
multi-billion,JJ
dollar,NN
contract,NN
with,IN
the,DT
Halliburton,NNP
company,NN
to,TO
provide,VB
logistical,JJ
support,NN
to,IN
U.S.,NNP
troops,NNS
in,IN
Iraq,NNP
and,CC
elsewhere,RB
.,.
Halliburton,NNP
has,VBZ
been,VBN
providing,VBG
a,DT
long,JJ
list,NN
of,IN
services,NNS
",",","
from,IN
meals,NNS
to,TO
communication,NN
",",","
for,IN
the,DT
military,NN
for,IN
several,JJ
years,NNS
.,.
Critics,NNS
of,IN
Halliburton,NNP
include,VBP
auditors,NNS
and,CC
congressional,JJ
Democrats,NNS
.,.
They,PRP
say,VBP
the,DT
company,NN
has,VBZ
produced,VBN
some,DT
shoddy,JJ
work,NN
and,CC
charges,VBZ
too,RB
much,JJ
money,NN
.,.
The,DT
company,NN
strongly,RB
denies,VBZ
the,DT
allegations,NNS
.,.
When,WRB
the,DT
huge,JJ
contract,NN
is,VBZ
put,VBN
out,RP
for,IN
re-bidding,NN
",",","
several,JJ
companies,NNS
will,MD
get,VB
a,DT
chance,NN
to,TO
compete,VB
for,IN
portions,NNS
of,IN
the,DT
work,NN
.,.
Representatives,NNS
from,IN
the,DT
Asia,NNP
Pacific,NNP
Economic,NNP
Cooperation,NNP
Business,NNP
Advisory,NNP
Council,NNP
are,VBP
holding,VBG
meetings,NNS
this,DT
week,NN
to,TO
finalize,VB
their,PRP$
annual,JJ
report,NN
for,IN
APEC,NNP
leaders,NNS
who,WP
will,MD
hold,VB
a,DT
summit,NN
on,IN
September,NNP
8,CD
and,CC
9,CD
.,.
VOA,NNP
's,POS
Nancy-Amelia,NNP
Collins,NNP
reports,VBZ
from,IN
Sydney,NNP
.,.
Energy,NN
",",","
security,NN
",",","
climate,NN
change,NN
",",","
the,DT
World,NNP
Trade,NNP
Organization,NNP
's,POS
stalled,VBN
negotiations,NNS
",",","
and,CC
investment,NN
are,VBP
all,DT
expected,VBN
to,TO
be,VB
among,IN
the,DT
major,JJ
topics,NNS
in,IN
the,DT
annual,JJ
report,NN
of,IN
the,DT
APEC,NNP
Business,NNP
Advisory,NNP
Council,NNP
",",","
known,VBN
as,IN
ABAC,NNP
.,.
Tim,NNP
Harcourt,NNP
",",","
the,DT
chief,JJ
economist,NN
of,IN
the,DT
Australian,NNP
Trade,NNP
Commission,NNP
",",","
says,VBZ
ABAC,NNP
plays,VBZ
an,DT
important,JJ
role,NN
by,IN
informing,VBG
governments,NNS
where,WRB
there,EX
are,VBP
problems,NNS
.,.
"""",``
The,DT
most,RBS
important,JJ
thing,NN
the,DT
business,NN
groups,NNS
can,MD
do,VB
is,VBZ
to,TO
tell,VB
the,DT
governments,NNS
where,WRB
there,EX
are,VBP
logjams,NNS
",",","
where,WRB
there,EX
are,VBP
obstacles,NNS
",",","
where,WRB
things,NNS
can,MD
improve,VB
",",","
"""",``
Harcourt,NNP
said,VBD
.,.
"""",``
I,PRP
think,VBP
actually,RB
ABAC,NNP
has,VBZ
played,VBN
a,DT
pretty,RB
good,JJ
leadership,NN
on,IN
that,DT
in,IN
talking,VBG
about,IN
trade,NN
facilitation,NN
and,CC
basically,RB
making,VBG
sure,JJ
standards,NNS
are,VBP
consistent,JJ
and,CC
harmonious,JJ
across,IN
the,DT
region,NN
.,.
"""",``
ABAC,NNP
comprises,VBZ
up,RP
to,TO
three,CD
members,NNS
of,IN
the,DT
private,JJ
sector,NN
of,IN
each,DT
of,IN
the,DT
21,CD
economies,NNS
that,WDT
make,VBP
up,RP
APEC,NNP
.,.
It,PRP
meets,VBZ
three,CD
times,NNS
a,DT
year,NN
.,.
It,PRP
was,VBD
made,VBN
a,DT
permanent,JJ
body,NN
in,IN
1995,CD
to,TO
provide,VB
an,DT
independent,JJ
business,NN
perspective,NN
within,IN
APEC,NNP
.,.
Members,NNS
represent,VBP
a,DT
range,NN
of,IN
business,NN
sectors,NNS
",",","
including,VBG
medium,JJ
and,CC
small,JJ
businesses,NNS
.,.
ABAC,NNP
says,VBZ
there,EX
is,VBZ
a,DT
need,NN
for,IN
businesses,NNS
to,TO
improve,VB
energy,NN
efficiency,NN
and,CC
to,TO
encourage,VB
conservation,NN
practices,NNS
",",","
and,CC
is,VBZ
expected,VBN
to,TO
include,VB
this,DT
in,IN
its,PRP$
annual,JJ
report,NN
.,.
Harcourt,NNP
",",","
of,IN
the,DT
Australian,NNP
Trade,NNP
Commission,NNP
",",","
says,VBZ
the,DT
ABAC,NNP
report,NN
will,MD
also,RB
discuss,VB
ways,NNS
to,TO
enhance,VB
regional,JJ
cooperation,NN
.,.
"""",``
I,PRP
reckon,VBP
they,PRP
'll,MD
talk,VB
a,DT
little,JJ
bit,NN
about,IN
customs,NNS
and,CC
quarantine,NN
",",","
a,DT
little,JJ
bit,NN
about,IN
having,VBG
consistent,JJ
security,NN
arrangements,NNS
around,IN
the,DT
region,NN
",",","
"""",``
Harcourt,NNP
said,VBD
.,.
"""",``
And,CC
I,PRP
think,VBP
they,PRP
'll,MD
want,VB
a,DT
one-stop,JJ
shop,NN
in,IN
terms,NNS
of,IN
combining,VBG
security,NN
",",","
immigration,NN
",",","
customs,NNS
",",","
and,CC
quarantine,VB
together,RB
?,","
just,RB
to,TO
make,VB
sure,JJ
it,PRP
's,VBZ
more,JJR
streamlined,JJ
and,CC
provides,VBZ
more,JJR
certainty,NN
.,.
"""",``
ABAC,NNP
is,VBZ
the,DT
only,JJ
non-governmental,JJ
body,NN
that,WDT
has,VBZ
an,DT
official,JJ
role,NN
and,CC
formal,JJ
dialogue,NN
with,IN
the,DT
leaders,NNS
of,IN
the,DT
APEC,NNP
economies,NNS
.,.
It,PRP
will,MD
present,VB
its,PRP$
annual,JJ
report,NN
at,IN
the,DT
APEC,NNP
leaders,NNS
meeting,NN
on,IN
Saturday,NNP
.,.
Sudan,NNP
's,POS
government,NN
says,VBZ
it,PRP
will,MD
order,VB
troops,NNS
to,TO
end,VB
attacks,NNS
immediately,RB
in,IN
Darfur,NNP
",",","
and,CC
is,VBZ
asking,VBG
rebels,NNS
to,TO
do,VB
the,DT
same,NN
.,.
Foreign,NNP
Minister,NNP
Mustafa,NNP
Osman,NNP
Ismail,NNP
says,VBZ
Sudanese,JJ
troops,NNS
will,MD
also,RB
withdraw,VB
to,TO
positions,NNS
held,VBN
before,IN
an,DT
April,NNP
cease-fire,NN
",",","
if,IN
rebels,NNS
in,IN
the,DT
western,JJ
region,NN
agree,VBP
to,TO
stop,VB
attacks,NNS
.,.
Mr.,NNP
Ismail,NNP
announced,VBD
the,DT
decision,NN
after,IN
meeting,VBG
with,IN
officials,NNS
from,IN
the,DT
United,NNP
Nations,NNPS
and,CC
African,NNP
Union,NNP
in,IN
Khartoum,NNP
Sunday,NNP
.,.
In,IN
recent,JJ
weeks,NNS
",",","
AU,NNP
officials,NNS
say,VBP
Sudanese,JJ
troops,NNS
and,CC
rebels,NNS
have,VBP
repeatedly,RB
violated,VBN
the,DT
April,NNP
truce,NN
.,.
Saturday,NNP
",",","
the,DT
head,NN
of,IN
AU,NNP
forces,NNS
in,IN
Darfur,NNP
accused,VBD
Sudanese,JJ
government,NN
helicopters,NNS
of,IN
bombing,VBG
rebel,NN
sites,NNS
in,IN
the,DT
South,NNP
Darfur,NNP
village,NN
of,IN
Labado,NNP
.,.
Khartoum,NNP
says,VBZ
troops,NNS
were,VBD
defending,VBG
their,PRP$
positions,NNS
from,IN
rebel,NN
attacks,NNS
.,.
Aid,NN
workers,NNS
say,VBP
some,DT
relief,NN
efforts,NNS
have,VBP
been,VBN
suspended,VBN
in,IN
South,NNP
Darfur,NNP
due,JJ
to,TO
recent,JJ
attacks,NNS
.,.
Indonesian,JJ
police,NNS
have,VBP
arrested,VBN
three,CD
men,NNS
in,IN
connection,NN
with,IN
the,DT
October,NNP
1,CD
Bali,NNP
bombings,NNS
that,WDT
left,VBD
23,CD
people,NNS
dead,JJ
.,.
Indonesian,JJ
police,NN
said,VBD
Wednesday,NNP
the,DT
men,NNS
were,VBD
flown,VBN
to,TO
Bali,NNP
from,IN
neighboring,VBG
Java,NNP
island,NN
for,IN
questioning,VBG
at,IN
Bali,NNP
police,NN
headquarters,NN
.,.
Australian,JJ
and,CC
French,JJ
news,NN
agencies,NNS
say,VBP
at,IN
least,JJS
one,CD
of,IN
the,DT
men,NNS
arrested,VBN
(,LRB
Cholily,NNP
),RRB
was,VBD
captured,VBN
during,IN
a,DT
series,NN
of,IN
counter-terrorism,NN
raids,NNS
last,JJ
week,NN
in,IN
Indonesia,NNP
.,.
The,DT
raids,NNS
ended,VBD
with,IN
the,DT
death,NN
of,IN
alleged,JJ
extremist,NN
bombmaker,NN
Azahari,NNP
bin,NNP
Husin,NNP
.,.
Indonesian,JJ
authorities,NNS
blame,VBP
Azahari,NNP
bin,NNP
Husin,NNP
for,IN
orchestrating,VBG
last,JJ
month,NN
's,POS
attacks,NNS
in,IN
Bali,NNP
as,RB
well,RB
as,IN
the,DT
2002,CD
Bali,NNP
bombings,NNS
that,WDT
killed,VBD
more,JJR
than,IN
200,CD
people,NNS
.,.
Gunmen,NNS
have,VBP
shot,VBN
and,CC
killed,VBN
a,DT
Roman,NNP
Catholic,NNP
nun,NN
and,CC
her,PRP$
bodyguard,NN
at,IN
the,DT
hospital,NN
where,WRB
she,PRP
worked,VBD
in,IN
Islamist-controlled,JJ
Mogadishu,NNP
",",","
Somalia,NNP
.,.
Some,DT
witnesses,NNS
to,TO
the,DT
Sunday,NNP
shooting,NN
said,VBD
they,PRP
feared,VBD
the,DT
attack,NN
was,VBD
linked,VBN
to,IN
Muslim,NN
anger,NN
toward,IN
Pope,NNP
Benedict,NNP
.,.
Two,CD
men,NNS
with,IN
pistols,NNS
attacked,VBD
the,DT
nun,NN
",",","
Sister,NNP
Leonella,NNP
Sgorbati,NNP
",",","
after,IN
she,PRP
finished,VBD
teaching,VBG
a,DT
medical,JJ
school,NN
class,NN
at,IN
the,DT
hospital,NN
in,IN
southern,JJ
Mogadishu,NNP
.,.
Officials,NNS
say,VBP
one,CD
suspect,NN
was,VBD
arrested,VBN
.,.
In,IN
Rome,NNP
",",","
a,DT
Vatican,NNP
spokesman,NN
deplored,VBD
the,DT
attack,NN
and,CC
said,VBD
he,PRP
hoped,VBD
it,PRP
was,VBD
an,DT
isolated,JJ
event,NN
",",","
and,CC
not,RB
irrationality,JJ
arising,VBG
from,IN
comments,NNS
made,VBN
by,IN
the,DT
Pope,NN
which,WDT
angered,VBD
some,DT
Muslims,NNS
.,.
Authorities,NNS
in,IN
Mogadishu,NNP
have,VBP
not,RB
determined,VBN
a,DT
motive,NN
for,IN
the,DT
shooting,NN
.,.
The,DT
pope,NN
has,VBZ
said,VBN
he,PRP
meant,VBD
no,DT
offense,NN
to,TO
Muslims,NNPS
when,WRB
he,PRP
quoted,VBD
a,DT
14,CD
